localname,stationid,平均溫度,平均相對濕度,日照時數,最低溫度,最低溫度日期,最大10分鐘風日期,最大10分鐘風風向,最大10分鐘風風速,最大瞬間風日期,最大瞬間風風向,最大瞬間風風速,最小相對濕度,最小相對濕度日期,最高溫度,最高溫度日期,測站氣壓,降水日數,降水量
"BANQIAO,板橋",466880,23.0,71.0,118.0,13.2,7.0,16.0,60.0,5.9,16.0,70.0,13.5,43.0,10.0,33.6,23.0,1013.3,8.0,74.0
"TAMSUI,淡水",466900,23.3,70.0,149.1,13.3,18.0,6.0,20.0,6.6,6.0,40.0,18.1,37.0,1.0,33.3,23.0,1012.7,8.0,72.5
"ANBU,鞍部",466910,16.8,87.0,106.7,6.1,7.0,16.0,80.0,8.2,6.0,350.0,17.7,43.0,25.0,27.1,13.0,922.1,10.0,129.8
"TAIPEI,臺北",466920,23.5,66.0,115.8,13.6,7.0,16.0,50.0,7.6,16.0,50.0,15.0,34.0,10.0,34.3,23.0,1011.0,9.0,59.6
"ZHUZIHU,竹子湖",466930,18.4,80.0,125.0,7.4,7.0,6.0,30.0,8.9,6.0,20.0,17.9,40.0,25.0,29.2,23.0,946.0,10.0,97.5
"KEELUNG,基隆",466940,22.6,74.0,144.5,13.1,8.0,6.0,360.0,9.7,6.0,20.0,19.2,36.0,1.0,31.3,23.0,1011.7,9.0,108.7
"PENGJIAYU,彭佳嶼",466950,21.2,77.0,171.6,12.5,6.0,14.0,40.0,15.2,6.0,360.0,24.0,41.0,7.0,28.9,30.0,1003.6,8.0,89.8
"HUALIEN,花蓮",466990,22.8,74.0,117.2,15.0,9.0,6.0,50.0,11.1,6.0,70.0,20.5,50.0,7.0,30.0,30.0,1012.8,11.0,31.0
"XINWU,新屋",467050,22.6,76.0,160.1,13.0,7.0,6.0,30.0,11.2,6.0,40.0,19.8,46.0,8.0,30.6,23.0,1011.7,9.0,75.2
"SU-AO,蘇澳",467060,22.2,77.0,117.9,12.9,8.0,6.0,50.0,9.6,6.0,60.0,19.6,46.0,7.0,30.4,14.0,1012.3,11.0,48.5
"YILAN,宜蘭",467080,22.6,74.0,107.7,12.9,8.0,6.0,90.0,9.4,6.0,90.0,14.1,45.0,7.0,31.1,23.0,1014.2,11.0,25.8
"KINMEN,金門",467110,21.1,76.0,175.7,11.0,8.0,6.0,70.0,10.0,6.0,40.0,20.1,34.0,8.0,31.7,30.0,1011.2,6.0,19.8
"DONGJIDAO,東吉島",467300,24.5,78.0,220.9,18.9,7.0,7.0,20.0,20.6,6.0,360.0,28.4,43.0,9.0,31.2,12.0,1009.3,3.0,15.3
"PENGHU,澎湖",467350,24.4,76.0,217.2,17.5,9.0,6.0,20.0,10.8,6.0,360.0,22.2,44.0,9.0,32.0,23.0,1012.6,6.0,14.2
"TAINAN,臺南",467410,25.6,68.0,217.5,16.2,8.0,6.0,350.0,11.1,7.0,350.0,20.6,39.0,10.0,32.5,23.0,1011.0,1.0,0.5
"KAOHSIUNG,高雄",467440,26.3,67.0,219.9,17.4,7.0,6.0,350.0,7.2,23.0,150.0,12.0,45.0,10.0,33.2,23.0,1013.2,4.0,9.5
"CHIAYI,嘉義",467480,24.6,75.0,181.0,13.4,8.0,6.0,10.0,7.2,6.0,340.0,11.9,40.0,10.0,34.2,23.0,1010.3,3.0,7.8
"TAICHUNG,臺中",467490,24.3,71.0,155.7,14.7,8.0,6.0,20.0,5.8,23.0,190.0,11.9,36.0,10.0,33.4,23.0,1003.8,4.0,30.5
"ALISHAN,阿里山",467530,12.0,77.0,124.9,1.5,8.0,23.0,150.0,5.7,12.0,270.0,13.2,13.0,10.0,19.3,23.0,765.4,12.0,112.4
"DAWU,大武",467540,24.4,71.0,129.3,16.7,9.0,6.0,20.0,9.2,6.0,20.0,18.4,41.0,12.0,36.8,12.0,1013.2,13.0,39.5
"YUSHAN,玉山",467550,4.8,76.0,195.5,-5.6,8.0,23.0,220.0,17.1,23.0,210.0,25.2,10.0,8.0,17.1,5.0,644.0,10.0,96.0
"HSINCHU,新竹",467571,23.0,72.0,140.2,13.1,7.0,6.0,10.0,5.8,6.0,30.0,14.5,33.0,10.0,31.6,22.0,1010.9,7.0,61.7
"HENGCHUN,恆春",467590,25.6,68.0,198.1,18.6,8.0,7.0,30.0,12.6,7.0,20.0,26.0,37.0,2.0,32.9,30.0,1011.1,1.0,8.0
"CHENGGONG,成功",467610,22.8,79.0,77.8,15.5,7.0,15.0,20.0,9.9,24.0,20.0,18.1,56.0,9.0,30.7,24.0,1010.2,12.0,103.5
"LANYU,蘭嶼",467620,22.1,83.0,128.6,15.3,7.0,7.0,30.0,20.5,7.0,40.0,35.5,56.0,9.0,27.8,23.0,977.4,13.0,176.2
"SUN MOON LAKE,日月潭",467650,18.8,79.0,102.0,9.6,7.0,12.0,30.0,5.0,23.0,200.0,10.9,40.0,9.0,30.0,23.0,902.8,8.0,108.0
"TAITUNG,臺東",467660,23.9,75.0,112.5,16.5,8.0,6.0,30.0,6.6,6.0,20.0,15.4,49.0,9.0,31.3,23.0,1013.5,14.0,74.0
"WUQI,梧棲",467770,23.6,71.0,184.7,14.3,8.0,6.0,350.0,14.1,6.0,30.0,27.5,33.0,8.0,30.3,14.0,1011.1,3.0,14.5
"MATSU,馬祖",467990,18.9,81.0,148.5,10.7,6.0,23.0,200.0,9.5,23.0,210.0,17.1,53.0,10.0,28.9,11.0,1005.0,8.0,46.4
