localname,stationid,平均溫度,平均相對濕度,日照時數,最低溫度,最低溫度日期,最大10分鐘風日期,最大10分鐘風風向,最大10分鐘風風速,最大瞬間風日期,最大瞬間風風向,最大瞬間風風速,最小相對濕度,最小相對濕度日期,最高溫度,最高溫度日期,測站氣壓,降水日數,降水量
"BANQIAO,板橋",466880,19.1,82.0,59.3,11.8,19.0,14.0,60.0,6.7,28.0,50.0,12.9,49.0,19.0,30.1,4.0,1019.6,13.0,69.9
"TAMSUI,淡水",466900,18.6,85.0,93.5,10.0,18.0,11.0,20.0,5.5,29.0,30.0,14.4,43.0,19.0,28.7,4.0,1019.1,16.0,265.5
"ANBU,鞍部",466910,13.5,92.0,71.9,5.6,29.0,15.0,150.0,9.1,24.0,130.0,19.5,21.0,20.0,24.2,3.0,926.8,23.0,620.1
"TAIPEI,臺北",466920,19.5,75.0,91.1,12.3,18.0,15.0,80.0,7.7,29.0,80.0,14.9,33.0,3.0,30.5,2.0,1017.3,16.0,54.4
"ZHUZIHU,竹子湖",466930,15.0,87.0,100.1,7.0,18.0,9.0,30.0,9.4,9.0,10.0,18.1,36.0,18.0,25.0,3.0,950.9,22.0,632.1
"KEELUNG,基隆",466940,19.1,77.0,83.0,12.4,18.0,27.0,10.0,11.3,27.0,20.0,18.9,38.0,20.0,29.8,4.0,1017.8,20.0,578.0
"PENGJIAYU,彭佳嶼",466950,18.7,81.0,96.0,11.4,29.0,28.0,40.0,17.0,28.0,30.0,24.6,47.0,18.0,27.8,4.0,1009.5,19.0,110.4
"HUALIEN,花蓮",466990,21.0,75.0,107.0,13.3,19.0,29.0,80.0,10.3,29.0,50.0,18.1,48.0,1.0,29.2,4.0,1018.1,13.0,49.0
"XINWU,新屋",467050,18.5,82.0,97.7,10.8,19.0,30.0,60.0,14.6,30.0,70.0,24.3,41.0,18.0,30.8,4.0,1017.6,15.0,78.1
"SU-AO,蘇澳",467060,19.0,85.0,78.2,11.2,29.0,30.0,100.0,9.4,11.0,60.0,19.6,49.0,19.0,28.1,4.0,1017.9,19.0,1291.0
"YILAN,宜蘭",467080,19.3,85.0,102.9,11.8,18.0,23.0,110.0,6.7,11.0,30.0,11.1,45.0,20.0,29.0,4.0,1020.3,17.0,306.7
"KINMEN,金門",467110,17.2,72.0,111.2,9.8,29.0,7.0,70.0,8.5,7.0,60.0,19.1,27.0,17.0,27.0,4.0,1018.1,5.0,20.5
"DONGJIDAO,東吉島",467300,21.6,75.0,136.0,16.5,29.0,29.0,40.0,21.8,29.0,20.0,29.0,49.0,18.0,27.8,4.0,1013.5,1.0,0.3
"PENGHU,澎湖",467350,20.7,80.0,115.1,15.7,29.0,29.0,30.0,10.6,29.0,10.0,25.6,54.0,18.0,28.6,4.0,1017.8,3.0,4.3
"TAINAN,臺南",467410,21.6,74.0,214.6,13.4,30.0,27.0,350.0,8.4,27.0,350.0,14.5,29.0,20.0,30.5,4.0,1015.3,0.0,0.0
"KAOHSIUNG,高雄",467440,23.4,70.0,200.4,16.0,29.0,27.0,360.0,6.8,27.0,360.0,9.9,34.0,20.0,32.4,4.0,1017.4,0.0,0.0
"CHIAYI,嘉義",467480,20.7,75.0,189.4,10.8,30.0,27.0,10.0,5.8,27.0,360.0,10.6,25.0,20.0,31.6,6.0,1014.8,0.0,T
"TAICHUNG,臺中",467490,20.8,72.0,191.3,13.5,18.0,13.0,350.0,5.6,29.0,350.0,12.0,30.0,20.0,31.7,6.0,1008.3,1.0,2.0
"ALISHAN,阿里山",467530,10.0,84.0,138.3,1.3,18.0,22.0,190.0,3.8,16.0,60.0,7.0,29.0,18.0,18.3,3.0,767.6,3.0,2.8
"DAWU,大武",467540,22.7,70.0,115.8,16.4,19.0,11.0,30.0,8.3,29.0,30.0,16.9,50.0,18.0,29.0,11.0,1017.7,7.0,18.1
"YUSHAN,玉山",467550,5.1,65.0,265.9,-3.3,1.0,24.0,210.0,11.9,17.0,270.0,21.4,10.0,29.0,16.6,22.0,645.5,4.0,8.0
"HSINCHU,新竹",467571,19.1,75.0,128.8,12.3,19.0,28.0,40.0,7.1,28.0,20.0,20.2,33.0,18.0,29.8,4.0,1016.4,5.0,30.5
"HENGCHUN,恆春",467590,23.6,71.0,184.5,17.4,20.0,28.0,30.0,13.3,29.0,40.0,27.1,37.0,1.0,30.9,4.0,1014.8,1.0,6.0
"CHENGGONG,成功",467610,21.1,75.0,110.6,14.5,29.0,9.0,30.0,11.1,9.0,30.0,19.4,48.0,18.0,28.9,4.0,1015.0,14.0,64.1
"LANYU,蘭嶼",467620,20.6,92.0,57.8,15.3,29.0,9.0,30.0,27.5,24.0,40.0,38.8,53.0,19.0,25.5,3.0,980.7,19.0,331.1
"SUN MOON LAKE,日月潭",467650,17.8,74.0,161.2,10.2,29.0,25.0,360.0,4.1,20.0,210.0,6.0,37.0,2.0,27.7,5.0,905.9,1.0,1.0
"TAITUNG,臺東",467660,22.0,74.0,122.6,14.9,19.0,9.0,40.0,6.2,29.0,60.0,16.8,47.0,19.0,29.6,4.0,1018.3,8.0,54.8
"WUQI,梧棲",467770,19.5,77.0,163.8,13.2,29.0,28.0,350.0,16.0,28.0,350.0,26.2,28.0,18.0,29.1,4.0,1015.8,2.0,8.5
"MATSU,馬祖",467990,14.0,81.0,74.4,6.7,29.0,23.0,60.0,10.2,30.0,20.0,19.8,48.0,17.0,24.1,4.0,1012.7,10.0,14.4
