station,stname
466940,基隆
466950,彭佳嶼
466990,花蓮
467050,新屋
467060,蘇澳
467080,宜蘭
467110,金門
467300,東吉島
467350,澎湖
467410,臺南
467420,永康
467440,高雄
467480,嘉義
467490,臺中
467530,阿里山
467540,大武
467550,玉山
467571,新竹
467590,恆春
467610,成功
467620,蘭嶼
467650,日月潭
467660,臺東
467770,梧棲
467790,墾丁雷達站
467990,馬祖
C0B010,七堵
C0B020,基隆嶼
C0C460,復興
C0C480,桃園
C0C490,八德
C0C540,大園
C0C590,觀音
C0C620,蘆竹
C0C630,大溪
C0C650,平鎮
C0C660,楊梅
C0C670,龍潭
C0C680,龜山
C0C700,中壢
C0C710,大溪永福
C0D360,梅花
C0D390,關西
C0D430,峨眉
C0D480,打鐵坑
C0D540,橫山
C0D550,雪霸
C0D560,竹東
C0D570,香山
C0D580,寶山
C0D590,新豐
C0D650,湖口
C0D660,新竹市東區
C0E420,竹南
C0E430,南庄
C0E520,大湖
C0E530,三義
C0E540,後龍
C0E550,明德
C0E590,通霄
C0E610,馬都安
C0E730,頭份
C0E740,造橋
C0E750,苗栗
C0E780,銅鑼
C0E790,卓蘭
C0E810,西湖
C0E820,獅潭
C0E830,苑裡
C0E850,大河
C0E860,觀霧2
C0E870,高鐵苗栗
C0F000,大肚
C0F0A0,雪山圈谷
C0F0B0,石岡
C0F0C0,中坑
C0F0D0,審馬陣
C0F0E0,南湖圈谷
C0F850,東勢
C0F861,梨山
C0F930,大甲
C0F970,大坑
C0F9A0,中竹林
C0F9I0,神岡
C0F9K0,大安
C0F9L0,后里
C0F9M0,豐原
C0F9N0,大里
C0F9O0,潭子
C0F9P0,清水
C0F9Q0,外埔
C0F9R0,龍井
C0F9S0,烏日
C0F9T0,西屯
C0F9U0,南屯
C0F9V0,新社
C0F9X0,大雅(中科園區)
C0F9Y0,桃山
C0F9Z0,雪山東峰
C0G620,芬園
C0G640,鹿港
C0G650,員林
C0G660,溪湖
C0G720,溪州
C0G730,二林
C0G740,大城
C0G750,竹塘
C0G760,高鐵彰化
C0G770,福興
C0G780,秀水
C0G790,花壇
C0G800,埔鹽
C0G810,埔心
C0G820,田尾
C0G830,埤頭
C0G840,北斗
C0G850,田中
C0G860,社頭
C0G870,芳苑
C0G880,二水
C0G890,伸港
C0H890,埔里
C0H950,中寮
C0H960,草屯
C0H990,昆陽
C0H9A0,神木村
C0H9C0,合歡山
C0I010,廬山
C0I080,信義
C0I090,鳳凰
C0I110,竹山
C0I360,水里
C0I370,魚池
C0I380,集集
C0I390,仁愛
C0I410,名間
C0I420,國姓
C0I460,南投
C0I480,梅峰
C0I490,萬大林道
C0I520,玉山風口
C0I530,小奇萊
C0I540,奇萊稜線
C0K240,草嶺
C0K250,崙背
